subject,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10
1,12,12,12,18,18,18,10,18,14,14
2,18,18,18,18,18,18,18,14,18,18
3,12,18,12,18,18,10,18,14,18,14
4,18,18,18,12,18,18,18,18,14,14
5,12,12,18,18,18,10,18,18,18,14
6,18,18,18,18,18,18,18,18,18,18
7,12,12,12,18,18,18,10,18,14,14
8,18,18,18,18,10,18,18,18,18,14
9,18,18,18,18,18,18,18,18,18,18
10,18,12,12,18,18,18,10,18,14,14
11,12,18,12,12,18,18,18,18,18,14
12,18,12,12,12,18,18,18,18,14,14
13,18,18,18,18,18,18,18,18,18,18
14,18,18,18,18,18,18,10,18,18,18
15,18,12,12,18,18,18,18,18,14,18
16,18,18,18,18,18,18,18,18,18,18
17,18,18,12,12,18,10,10,14,18,18
18,12,18,12,18,18,18,18,14,18,18
19,18,18,12,18,18,18,18,18,18,18
20,12,12,18,12,18,18,18,18,18,14
21,18,12,12,12,18,18,10,14,18,14
22,18,18,18,18,18,18,10,18,18,18
23,18,12,12,12,10,18,10,14,18,14
24,18,18,12,12,10,18,10,18,18,14
25,18,18,18,18,18,18,18,14,18,18
26,18,12,18,18,10,10,10,14,14,14
27,18,18,18,18,18,18,18,18,18,18
28,18,18,18,12,18,18,10,18,18,14
29,18,18,18,18,18,18,18,18,18,14
30,18,18,12,12,18,18,18,18,14,18
31,18,12,18,18,18,18,18,14,14,14
32,12,12,18,18,18,18,18,18,18,14
33,18,18,18,18,18,18,18,18,18,18
34,18,18,12,12,18,10,18,14,14,14
35,18,18,12,18,18,18,18,18,18,18
36,12,12,18,18,18,18,18,18,14,18
37,18,18,12,12,10,18,10,18,14,14
38,18,18,12,18,18,10,18,14,18,14
39,12,18,18,18,18,18,10,14,14,18
40,18,18,12,12,18,10,18,18,14,14
41,18,18,12,12,18,18,18,14,18,14
42,18,18,18,18,18,18,18,18,18,14
43,18,18,12,12,10,18,18,18,18,14
44,18,12,12,12,18,10,18,18,14,14
45,12,12,18,12,18,18,10,18,14,14
46,18,18,18,12,18,18,10,18,18,14
47,18,12,12,12,18,10,10,18,18,18
48,18,18,12,18,18,18,18,18,14,14
49,12,18,18,18,18,18,18,18,14,14
50,18,12,12,12,18,10,10,14,14,14
51,18,18,18,18,18,18,18,14,14,18
52,18,18,18,18,18,18,18,18,18,18
53,18,18,18,18,18,18,18,18,18,14
54,18,12,18,12,18,18,18,14,18,14
55,12,18,18,12,18,18,18,18,14,14
56,18,18,12,12,18,18,18,14,18,18
57,18,18,18,12,18,18,18,18,18,18
58,18,18,12,18,18,10,18,14,18,18
59,18,18,18,12,18,18,18,18,14,14
60,12,18,18,18,18,18,10,14,18,18
61,18,18,18,12,18,10,18,14,14,14
62,18,12,12,12,18,10,10,18,14,14
63,18,18,18,18,18,18,18,18,18,18
64,18,12,12,12,10,18,18,18,14,14
65,18,12,12,18,18,10,10,18,14,14
66,18,18,18,18,10,18,18,18,18,18
67,18,18,12,18,18,18,18,14,14,14
68,18,18,18,18,18,18,18,18,18,14
69,18,18,12,12,18,18,18,18,18,14
70,18,18,18,18,18,18,18,18,18,14
71,18,18,18,18,18,18,18,14,18,14
72,18,18,12,18,18,18,18,14,14,14
73,12,18,12,18,10,18,18,18,18,14
74,12,12,18,12,18,10,18,18,18,18
75,18,18,12,12,18,10,10,18,18,14
76,18,12,18,18,10,10,10,18,14,14
77,18,18,18,18,10,10,18,18,18,18
78,18,18,12,12,18,18,10,18,18,14
79,18,18,12,18,18,18,18,14,14,14
80,18,12,18,18,18,18,18,14,14,18
